DayofWeek	Date	Impressions	Clicks	Revenue
Monday	30JUN03	1302	9	$2.58
Tuesday	01JUL03	3134	28	$5.04
Wednesday	02JUL03	2015	10	$0.84
Thursday	03JUL03	4001	32	$3.84
Friday	04JUL03	3680	15	$4.28
Saturday	05JUL03	2720	25	$9.04
Sunday	06JUL03	3693	14	$5.46
Monday	07JUL03	4250	26	$6.60
Tuesday	08JUL03	4229	24	$3.26
Wednesday	09JUL03	4315	22	$5.99
Thursday	10JUL03	4824	19	$2.74
Friday	11JUL03	6751	32	$8.89
Saturday	12JUL03	4277	32	$9.31
Sunday	13JUL03	4508	20	$3.37
Monday	14JUL03	6658	29	$4.03
Tuesday	15JUL03	6713	31	$3.20
Wednesday	16JUL03	7046	34	$3.89
Thursday	17JUL03	5484	23	$2.85
Friday	18JUL03	4868	30	$3.45
Saturday	19JUL03	3932	24	$4.39
Sunday	20JUL03	4378	30	$3.33
Monday	21JUL03	7206	32	$6.73
Tuesday	22JUL03	9333	51	$4.99
Wednesday	23JUL03	8321	61	$8.87
Thursday	24JUL03	8378	35	$3.69
Friday	25JUL03	12202	45	$4.34
Saturday	26JUL03	6161	34	$3.12
Sunday	27JUL03	9115	29	$2.77
Monday	28JUL03	17112	51	$10.36
Tuesday	29JUL03	12690	51	$10.24
Wednesday	30JUL03	10822	30	$3.96
Thursday	31JUL03	10395	41	$5.45
Friday	01AUG03	6979	31	$2.95
Saturday	02AUG03	3810	19	$1.78
Sunday	03AUG03	4554	30	$5.71
Monday	04AUG03	6082	30	$4.11
Tuesday	05AUG03	7567	44	$5.57
Wednesday	06AUG03	6725	42	$5.17
Thursday	07AUG03	5080	21	$2.43
Friday	08AUG03	4533	25	$4.77
Saturday	09AUG03	4073	18	$2.61
Sunday	10AUG03	4978	29	$4.04
Monday	11AUG03	6479	29	$4.97
Tuesday	12AUG03	7398	17	$2.99
Wednesday	13AUG03	7026	19	$3.28
Thursday	14AUG03	6367	32	$5.74
Friday	15AUG03	4156	27	$4.85
Saturday	16AUG03	2973	17	$3.13
Sunday	17AUG03	3202	19	$2.77
Monday	18AUG03	5441	25	$3.25
Tuesday	19AUG03	7811	32	$5.28
Wednesday	20AUG03	6695	44	$6.15
Thursday	21AUG03	7169	24	$4.36
Friday	22AUG03	5333	24	$2.92
Saturday	23AUG03	4831	34	$7.06
Sunday	24AUG03	4968	46	$8.08
Monday	25AUG03	9613	49	$11.46
Tuesday	26AUG03	12238	37	$5.88
Wednesday	27AUG03	12659	37	$6.66
Thursday	28AUG03	10165	45	$8.68
Friday	29AUG03	5973	33	$5.62
Saturday	30AUG03	4095	24	$6.05
Sunday	31AUG03	5023	21	$3.69
Monday	01SEP03	4746	17	$2.93
Tuesday	02SEP03	8330	34	$5.43
Wednesday	03SEP03	8689	36	$6.58
Thursday	04SEP03	10290	23	$4.84
Friday	05SEP03	5929	19	$2.99
Saturday	06SEP03	3289	26	$2.88
Sunday	07SEP03	3861	25	$3.61
Monday	08SEP03	5012	29	$3.94
Tuesday	09SEP03	5051	13	$2.01
Wednesday	10SEP03	3438	18	$2.08
Thursday	11SEP03	653	2	$0.35
Friday	12SEP03	51	1	$0.05
Saturday	13SEP03	2657	10	$1.45
Sunday	14SEP03	3836	19	$2.24
Monday	15SEP03	6329	25	$3.23
Tuesday	16SEP03	6694	35	$5.07
Wednesday	17SEP03	7343	32	$3.66
Thursday	18SEP03	6267	27	$3.71
Friday	19SEP03	6485	34	$3.80
Saturday	20SEP03	4128	27	$2.88
Sunday	21SEP03	5911	50	$4.99
Monday	22SEP03	15139	29	$3.25
Tuesday	23SEP03	9444	49	$7.15
Wednesday	24SEP03	4987	38	$4.68
