Rochester Monthly Snowfall

 Season   Sep     Oct     Nov     Dec     Jan     Feb     Mar     Apr     May    Total

1884-85    0       T       1      27.1    22.2     17     3.5     19.5     T      90.3
1885-86    0      1.7     8.2     8.4     16.9     16     6.5      7       0      64.7
1886-87    0       T      22.2    12.5     12     18.4    6.3     1.2      0      72.6
1887-88    0      0.2     2.2     9.3     21.3    4.1     13.2    0.4      0      50.7
1888-89    0       T       4      15.5    17.8     22     17.5    5.4      0      82.2
1889-90    0       T      5.7     6.1     20.2    14.8     19      T       0      65.8
1890-91    0       0      2.1     29.2    16.1    24.6    12.2    0.3     0.1     84.6
1891-92    0      0.1     9.7     4.7     26.4    10.3    25.1    0.8      T      77.1
1892-93    0       T       14     19.2    15.9    29.8    8.1     9.6      0      96.6
1893-94    0      0.5     6.1     27.6     20     29.5    5.4     13.3     0     102.4
1894-95    0       T      11.1    22.1    26.5    23.6    9.5     0.6      0      93.4
1895-96    0      1.5     5.9     8.7     22.5    39.1    45.1     1       0     123.8
1896-97    0       T      5.5     13.9    20.1    13.7    8.1     5.2      0      66.5
1897-98    0       0      10.1    18.4    32.1    26.8    1.2     2.4      0       91
1898-99    0       T      10.6     27     16.6    16.3    21.2    4.3      T       96
1899-00    T       T      1.3     21.5    24.7    28.5     54     1.3      0     131.3
1900-01    0       0       17     20.3    29.8    36.9    13.7    23.8     T     141.5
1901-02    0      0.1     14.1    14.5    23.8     23     1.2     2.3      T       79
1902-03    0      0.1     4.1     27.7    18.1    15.6    2.4     0.3      0      68.3
1903-04    0      0.6     4.4     16.1    27.2    17.2    10.7    19.5     T      95.7
1904-05    0      0.2     2.1     15.8    27.5    15.2     7      0.5      0      68.3
1905-06    0       T       4      8.4     7.6      8      15.2    1.1      0      44.3
1906-07    0       5      5.7     18.7    11.7    15.7    3.1     2.5     1.3     63.7
1907-08    0       0      2.2     11.6    16.5    19.8    7.9     6.3      3      67.3
1908-09    0      0.5     4.6      10     22.5    6.1     9.7     9.8     3.3     66.5
1909-10    0       T      1.7     14.6     22     42.7    3.4     0.5      0      84.9
1910-11    0      2.2     15.7    29.8    9.5      30     13.5    4.7      2     107.4
1911-12    0       0      6.5     7.5     21.5    10.8    8.8     6.9      T       62
1912-13    0       0      7.2     6.9      10     18.6    15.2    1.3      0      59.2
1913-14    0      0.2     0.3     14.4    15.1    21.6    27.9    7.2      0      86.7
1914-15    0      0.8     4.7     16.1    22.9    9.8      6      0.5      0      60.8
1915-16    0       0      3.4     14.8    8.5     35.7    43.8    0.7      0     106.9
1916-17    0       0      11.7    24.9    22.7    16.7    14.6    2.3      T      92.9
1917-18    0       T      7.9     29.7    17.2    12.7    10.5    1.3      0      79.3
1918-19    0       0      0.4     11.9    6.8     7.2     5.5     4.2      0       36
1919-20    0       0      5.8     19.1    35.4    18.7    16.3    2.2      0      97.5
1920-21    0       T      12.4     18     1.5     27.5    1.4     0.5      0      61.3
1921-22    0       0      10.7    6.9     25.5    8.1     8.1     0.4      0      59.7
1922-23    0      0.1     1.8     24.2    38.5    17.5    18.3    1.4     0.7    102.5
1923-24    0       T       4      7.5      10     29.4    6.7     7.8     0.2     65.6
1924-25    0       T      1.1     14.7     34     6.4     3.6      1       T      60.8
1925-26    0      0.8     1.4     12.4    14.7     16     8.5     1.5      T      55.3
1926-27    0       T      3.4     28.5    21.7    21.8    4.7     0.5      0      80.6
1927-28    0       0      0.9     13.4    12.8    8.3     30.1     3       0      68.5
1928-29    0       1      9.2     2.6     22.9    14.1     5      0.3      T      55.1
1929-30    0       T      1.3     19.3    6.2     12.6    17.8    2.3      0      59.5
1930-31    0      2.5     6.2     11.7    28.7    6.8     21.4     T       T      77.3
1931-32    0       0      0.9      5      6.3     25.3    32.1    6.1      0      75.7
1932-33    0       T       5      4.1      1      10.7     8      0.4      0      29.2
1933-34    0       T      19.3    17.2    8.5     25.3    5.8      1       0      77.1
1934-35    0       1      1.6     12.3    15.5    14.1    4.3     0.7      0      49.5
1935-36    0       T       0      28.6     28     11.9    19.2    2.3      0       90
1936-37    0       T      9.2     12.2    7.4     6.1      30      1       0      65.9
1937-38    0      0.2     5.7     8.1     12.7    14.9    4.8     8.3      0      54.7
1938-39    0       0      7.2     8.3     34.4    11.7    13.6    3.9      0      79.1
1939-40    0       T      0.1     2.6     9.3      23     15.8    3.7      0      54.5
1940-41    0       T      13.5     7       13     20.2    19.6    0.4      0      73.7
1941-42    0       T      0.2     5.9      5      31.5    18.4    5.3      0      66.3
1942-43    0       T      5.5     18.5    17.2    17.6    10.7    1.1      T      70.6
1943-44    0       T      5.2     5.1      4       21     7.6     3.2      0      46.1
1944-45    0       T      7.7     41.8    23.5    13.9    5.4     0.4      2      94.7
1945-46    0       0      10.9     11     6.7     19.5    0.9     0.5      0      49.5
1946-47    0       T      0.1     13.6    18.6     17     20.7    5.3     0.2     75.5
1947-48    0       0       2      15.3    18.8    14.5     12     0.3     0.5     63.4
1948-49    0       T       T      12.3    14.3    10.6    13.7     T       0      50.9
1949-50    0       0      6.1     9.4     14.2    26.4    22.4    3.2      0      81.7
1950-51    0       0      10.6    19.1    27.6    10.2    8.3      T       0      75.8
1951-52    0       T      16.3    23.6    13.9    16.1    5.9      T       0      75.8
1952-53    0       T       0      7.5     11.8    17.3     3      2.1      0      41.7
1953-54    0       0      11.9    10.2    19.8    11.2     23     1.4      T      77.5
1954-55    0       T      0.1     23.4    9.1     14.5    16.4    5.7      0      69.2
1955-56    0       T      10.1    24.8    21.1    24.7    33.3    7.4      T     121.4
1956-57    T       0       10     17.7    25.6     8      11.7    6.2      T      79.2
1957-58    0      1.4     9.9     6.9     37.9    64.8    8.8     1.1      T     130.8
1958-59    0       0      13.5    12.4    46.8    27.4    40.3    0.2      T     140.6
1959-60    0       T      11.6    25.4    32.7    58.3     33     0.7      0     161.7
1960-61    0      1.4     2.8     17.9    23.6    18.8    19.5    5.4      T      89.4
1961-62    0       0      7.5      6      11.7    28.2    4.6     7.6      T      65.6
1962-63    0      0.8      6      14.2    23.7    22.9    6.7     1.1      1      76.4
1963-64    0       0      4.4     34.6    20.2    13.1    16.1    3.6      0       92
1964-65    0       T      5.1     11.6    26.6    10.3    15.6    1.9      0      71.1
1965-66    0      0.9      8       6      60.2     21     6.2     0.9      T     103.2
1966-67    0       0       3      14.4    12.7    27.6     16      T      0.3      74
1967-68    0       T       10     6.9     24.2    20.4    15.2     T       0      76.7
1968-69    0       T      8.6     22.2    25.6    17.8    4.6      1       0      79.8
1969-70    0       T      5.8      42     37.9    27.7    4.9     1.3      T     119.6
1970-71    0      0.2     3.6     44.2    34.1    29.7    29.7    1.2      0     142.7
1971-72    0       0      11.2    13.8    18.1    35.7     19     7.3      0     105.1
1972-73    0      0.2     16.9    22.7    8.9     18.4    4.4     1.5      T       73
1973-74    0       0      4.2     23.4    14.4    26.6    22.3    8.2      T      99.1
1974-75    0      0.3     4.6     26.5    10.8    23.2    10.9    14.9     0      91.2
1975-76    0       T      1.8     28.3    29.9    8.8     15.2    1.8     0.4     86.2
1976-77    0      0.5     6.5     24.5    30.2     15      13     1.8     0.6     92.1
1977-78    0       T      12.7    35.2    60.4    40.7    7.5     4.2     0.2    160.9
1978-79    0       T      3.3     30.9    36.8    39.1    8.2     20.2     0     138.5
1979-80    0      0.2     1.2     12.2    13.1     24     21.2    0.3      0      72.2
1980-81    0       T      8.4     31.8    31.5    9.3      12     1.4      0      94.4
1981-82    0      0.1     2.4     46.1    43.6    14.9    8.9     12.4     0     128.4
