RochesterMonthlySnowfall,,,,,,,,,,,
,,,,,,,,,,,
Season,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Total,
,,,,,,,,,,,
1886-87,0,T,22.2,12.5,12,18.4,6.3,1.2,0,72.6,
1893-94,0,0.5,6.1,27.6,20,29.5,5.4,13.3,0,102.4,
1894-95,0,T,11.1,22.1,26.5,23.6,9.5,0.6,0,93.4,
1931-32,0,0,0.9,5,6.3,25.3,32.1,6.1,0,75.7,
1932-33,0,T,5,4.1,1,10.7,8,0.4,0,29.2,
1933-34,0,T,19.3,17.2,8.5,25.3,5.8,1,0,77.1,
1934-35,0,1,1.6,12.3,15.5,14.1,4.3,0.7,0,49.5,
1935-36,0,T,0,28.6,28,11.9,19.2,2.3,0,90,
1936-37,0,T,9.2,12.2,7.4,6.1,30,1,0,65.9,
1937-38,0,0.2,5.7,8.1,12.7,14.9,4.8,8.3,0,54.7,
1938-39,0,0,7.2,8.3,34.4,11.7,13.6,3.9,0,79.1,
1939-40,0,T,0.1,2.6,9.3,23,15.8,3.7,0,54.5,
1940-41,0,T,13.5,7,13,20.2,19.6,0.4,0,73.7,
1941-42,0,T,0.2,5.9,5,31.5,18.4,5.3,0,66.3,
1942-43,0,T,5.5,18.5,17.2,17.6,10.7,1.1,T,70.6,
1962-63,0,0.8,6,14.2,23.7,22.9,6.7,1.1,1,76.4,
1963-64,0,0,4.4,34.6,20.2,13.1,16.1,3.6,0,92,
1964-65,0,T,5.1,11.6,26.6,10.3,15.6,1.9,0,71.1,
1965-66,0,0.9,8,6,60.2,21,6.2,0.9,T,103.2,
1966-67,0,0,3,14.4,12.7,27.6,16,T,0.3,74,
1967-68,0,T,10,6.9,24.2,20.4,15.2,T,0,76.7,
1968-69,0,T,8.6,22.2,25.6,17.8,4.6,1,0,79.8,
1969-70,0,T,5.8,42,37.9,27.7,4.9,1.3,T,119.6,
1970-71,0,0.2,3.6,44.2,34.1,29.7,29.7,1.2,0,142.7,
1971-72,0,0,11.2,13.8,18.1,35.7,19,7.3,0,105.1,
1972-73,0,0.2,16.9,22.7,8.9,18.4,4.4,1.5,T,73,
1973-74,0,0,4.2,23.4,14.4,26.6,22.3,8.2,T,99.1,
1974-75,0,0.3,4.6,26.5,10.8,23.2,10.9,14.9,0,91.2,
1975-76,0,T,1.8,28.3,29.9,8.8,15.2,1.8,0.4,86.2,
1988-89,0,0.1,0.2,10.3,15,30.6,15.6,3.9,10.9,86.6,
1989-90,0,T,6.5,32.8,14,31.3,5.4,15.8,T,105.8,
1990-91,0,T,4.4,18.2,26.5,16.1,2,1.1,0,68.3,
1991-92,0,0,13.7,23.9,18.3,12.8,38.1,3.8,0,110.6,
1992-93,0,T,9.5,29.3,22.4,31.2,37.1,2,0,131.5,
1993-94,T,2.6,9.8,14,43,35.1,12.1,9.6,0,126.2,
,,,,,,,,,,,
,,,,,,,,,,,
MAX,T,5,24.9,46.1,60.4,64.8,54,23.8,10.9,161.7,1959-60
MIN,0,0,0,2.6,1,4.1,0.9,0,0,29.2,1932-33
,,,,,,,,,,,
Month,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,,
