STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000101,102,0,0,972,0,0,241,0,0,9,0,0,-57,0,0,-24,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000201,203,0,0,1327,0,0,649,0,0,-12,0,0,-83,0,0,-47,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000301,635,0,0,965,0,0,854,0,0,-1,0,0,-72,0,0,-37,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000401,0,0,0,288,0,0,13,0,0,103,0,0,25,0,0,64,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000501,0,0,0,309,0,0,35,0,0,172,0,0,83,0,0,128,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000601,0,0,0,310,0,0,0,0,0,235,0,0,144,0,0,190,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000701,0,0,0,757,0,0,0,0,0,249,0,0,179,0,0,214,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000801,0,0,0,938,0,0,0,0,0,262,0,0,194,0,0,228,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19000901,0,0,0,737,0,0,0,0,0,237,0,0,151,0,0,194,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19001001,0,0,0,862,0,0,0,0,0,198,0,0,118,0,0,158,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19001101,178,0,0,1351,0,0,454,0,0,83,0,0,25,0,0,54,0,0
GHCND:USC00301010,BUFFALO NY US,234.1,42.88333,-78.88333,19001201,76,0,0,323,0,0,183,0,0,26,0,0,-33,0,0,-4,0,0
