STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260101,127,1,1,509,0,0,374,1,1,2,1,1,-64,1,1,-31,1,1
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260201,178,0,0,582,0,0,406,1,1,-14,0,0,-81,0,0,-47,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260301,127,0,0,529,0,0,217,0,0,12,0,0,-55,0,0,-22,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260401,0,0,0,793,0,0,39,0,0,86,0,0,-1,0,0,43,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260501,0,0,0,414,0,0,0,0,0,181,0,0,67,0,0,124,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260601,0,0,0,811,0,0,0,0,0,217,0,0,111,0,0,164,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260701,0,0,0,607,0,0,0,0,0,261,0,0,159,0,0,210,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260801,0,0,0,1081,0,0,0,0,0,252,0,0,169,0,0,211,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19260901,0,0,0,1052,0,0,0,0,0,205,0,0,118,0,0,162,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19261001,0,0,0,1123,0,0,0,0,0,133,0,0,56,0,0,94,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19261101,25,0,0,606,0,0,86,0,0,81,0,0,9,0,0,45,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19261201,254,0,0,732,0,0,704,0,0,-5,0,0,-73,0,0,-39,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270101,330,0,0,453,0,0,551,0,0,-7,0,0,-79,0,0,-43,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270201,229,0,0,912,0,0,555,0,0,25,0,0,-37,0,0,-6,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270301,152,0,0,459,0,0,120,0,0,78,0,0,0,0,0,39,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270401,0,0,0,304,0,0,13,0,0,119,0,0,27,0,0,73,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270501,0,0,0,990,0,0,0,0,0,174,0,0,83,0,0,128,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270601,0,0,0,318,0,0,0,0,0,225,0,0,120,0,0,172,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270701,0,0,0,826,0,0,0,0,0,261,0,0,165,0,0,213,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270801,0,0,0,683,0,0,0,0,0,231,0,0,136,0,0,184,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19270901,0,0,0,131,0,0,0,0,0,235,0,0,131,0,0,183,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19271001,0,0,0,1257,0,0,0,0,0,176,0,0,83,0,0,130,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19271101,0,0,0,1811,0,0,14,0,0,104,0,0,23,0,0,63,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19271201,178,0,0,783,0,0,342,0,0,22,0,0,-47,0,0,-12,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280101,203,0,0,516,0,0,325,0,0,11,0,0,-59,0,0,-24,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280201,102,0,0,569,0,0,212,0,0,11,0,0,-71,0,0,-30,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280301,254,0,0,903,0,0,766,0,0,40,0,0,-38,0,0,1,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280401,25,0,0,661,0,0,76,0,0,111,0,0,13,0,0,62,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280501,0,0,0,651,0,0,0,0,0,186,0,0,82,0,0,134,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280601,0,0,0,1178,0,0,0,0,0,222,0,0,127,0,0,174,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280701,0,0,0,946,0,0,0,0,0,270,0,0,174,0,0,222,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280801,0,0,0,826,0,0,0,0,0,270,0,0,175,0,0,223,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19280901,0,0,0,191,0,0,0,0,0,198,0,0,107,0,0,152,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19281001,25,0,0,692,0,0,26,0,0,170,0,0,77,0,0,123,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19281101,152,0,0,1164,0,0,235,0,0,84,0,0,24,0,0,54,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19281201,25,0,0,200,0,0,67,0,0,40,0,0,-17,0,0,11,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290101,178,0,0,818,0,0,582,0,0,-3,0,0,-77,1,1,-39,1,1
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290201,254,0,0,374,0,0,362,0,0,-11,0,0,-74,0,0,-42,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290301,127,0,0,618,0,0,128,0,0,96,0,0,-2,0,0,47,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290401,0,0,0,1376,0,0,8,0,0,131,0,0,34,0,0,82,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290501,0,0,0,558,0,0,0,0,0,188,0,0,75,0,0,131,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290601,0,0,0,192,0,0,0,0,0,241,0,0,134,0,0,187,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290701,0,0,0,901,0,0,0,0,0,274,0,0,158,0,0,216,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290801,0,0,0,334,0,0,0,0,0,245,0,0,137,0,0,191,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19290901,0,0,0,730,0,0,0,0,0,231,0,0,131,0,0,181,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19291001,0,0,0,983,0,0,0,8,8,139,0,0,58,0,0,98,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19291101,0,0,0,488,0,0,34,0,0,71,0,0,5,0,0,38,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19291201,229,0,0,895,0,0,492,0,0,2,0,0,-53,0,0,-25,0,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,unknown,unknown,unknown,19300101,76,0,0,745,0,0,159,0,0,7,0,0,-72,0,0,-33,0,0
