STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19030201,-9999,0,0,468,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19030301,-9999,0,0,957,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19030401,-9999,0,0,201,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19031201,-9999,0,0,403,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040101,-9999,0,0,639,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040201,-9999,0,0,293,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040301,-9999,0,0,445,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040401,-9999,0,0,702,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040501,-9999,0,0,628,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040601,-9999,0,0,1049,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040701,-9999,0,0,1093,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040801,-9999,0,0,706,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19040901,-9999,0,0,968,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19041001,-9999,0,0,805,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19041101,-9999,0,0,163,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19041201,-9999,0,0,453,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050101,-9999,0,0,675,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050201,-9999,0,0,202,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050301,-9999,0,0,618,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050401,-9999,0,0,538,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050501,-9999,0,0,247,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050601,-9999,0,0,912,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050701,-9999,0,0,509,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050801,-9999,0,0,974,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19050901,-9999,0,0,856,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19051001,-9999,0,0,606,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19051101,-9999,0,0,380,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19051201,-9999,0,0,346,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060101,-9999,0,0,243,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060201,-9999,0,0,537,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060301,-9999,0,0,645,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060401,-9999,0,0,516,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060501,-9999,0,0,1009,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060601,-9999,0,0,1251,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060701,-9999,0,0,1216,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060801,-9999,0,0,633,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00300047,ALBANY NY US,unknown,unknown,unknown,19060901,-9999,0,0,396,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
